,mean,std,var,min,q25,median,q75,max
ELF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEUROD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL11B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCLAF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHLHE22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPTF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC5L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEBPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLOCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREB5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABPB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
