,mean,std,var,min,q25,median,q75,max
DBP,0.03513027443693851,0.03914971027798898,0.0015326998148504764,0.0,0.0,0.0253491196114146,0.0522920461445051,0.3532179720704311
FOXG1,0.02897552751589373,0.038203380074955724,0.001459498249151524,0.0,0.0,0.0,0.0551327088212334,0.3831967213114754
REL,0.01620255406962792,0.03795436087747943,0.0014405335096179413,0.0,0.0,0.0,0.0,0.4371584699453552
MAX,0.02440064594392183,0.03778497925081781,0.0014277046569847322,0.0,0.0,0.0,0.0364298724954462,0.310261080752884
FOXJ3,0.015646252208959904,0.037610841814720915,0.0014145754220119594,0.0,0.0,0.0,0.0,0.3940281030444965
PURA,0.041003670218997736,0.037535557860849514,0.0014089181039251815,0.0,0.0110807528840315,0.0326350941105039,0.0616272009714632,0.3079083181542198
MAFG,0.0513019750599498,0.036990883439440854,0.0013683254576302996,0.0,0.0230998509687034,0.0459513164431197,0.0741430700447094,0.3538872329855936
JDP2,0.014892173169908133,0.03661643821830659,0.0013407635477950632,0.0,0.0,0.0,0.0,0.7568306010928961
ZBTB33,0.021346271135126705,0.03595216764782184,0.0012925583585770874,0.0,0.0,0.0,0.0404868355688027,0.3351962245404868
MAF,0.050379099794197864,0.035941448563354086,0.0012917877248322274,0.0,0.0246620649985619,0.0432484900776531,0.067371297095197,0.2789401783146391
PAX6,0.02808070797163766,0.03547943361941004,0.0012587902099541234,0.0,0.0,0.0048339638503572,0.05348886086591,0.264291719209752
PRDM4,0.02269839307490866,0.03537676469905226,0.0012515154805721098,0.0,0.0,0.0,0.0428961748633879,0.3282786885245902
TP73,0.017763435639095763,0.035147927659795554,0.0012353768187782215,0.0,0.0,0.0,0.01578627808136,0.3389496053430479
ZNF460,0.015120032241621085,0.03486809349616404,0.0012157839440572371,0.0,0.0,0.0,0.0,0.3317720530835285
ZNF384,0.034766225446157754,0.03486431295693127,0.001215520317958846,0.0,0.0,0.0310993249758919,0.0527161684345869,0.3006268081002893
THRB,0.018749532058826866,0.03449291966438612,0.0011897615069737947,0.0,0.0,0.0,0.0279529213955443,0.4719419924337957
STAT4,0.05068422330846949,0.03440055644052416,0.001183398283417688,0.0,0.0258261774655217,0.0455373406193078,0.0722092115534738,0.3109549830861306
FOS,0.04381064965197079,0.03405793567611299,0.0011599429825182499,0.0,0.0165573770491803,0.038087431693989,0.0633333333333333,0.3204371584699453
SOX9,0.06252777327579505,0.033260723961755966,0.0011062757584601273,0.0,0.0379911527452511,0.0588732760863908,0.0835610200364298,0.2715326567785584
OTX2,0.03289844751809711,0.03278788557004319,0.0010750454401542463,0.0,0.0,0.0309653916211293,0.0532027929568913,0.2496205221615057
NFIL3,0.01784141299233947,0.032770619259791314,0.0010739134866702056,0.0,0.0,0.0,0.0267014406358668,0.3863636363636363
TFE3,0.020434496663336583,0.032760799499472706,0.001073269983844651,0.0,0.0,0.0,0.0388205828779599,0.2862021857923497
RFXAP,0.022458291547712922,0.03240402150552758,0.001050020609730694,0.0,0.0,0.0,0.041959406713505,0.3143052302888368
ZFP30,0.038985607129415074,0.03167591288827905,0.0010033634573058427,0.0,0.0141734972677595,0.0348929872495446,0.0590846994535519,0.2667918943533697
FOXO1,0.12859925185583507,0.031338123437024024,0.0009820779805541542,0.0112725870796875,0.1080827382748332,0.1321029870260484,0.1517147742130142,0.2264490931643702
NFATC2,0.03469995232558117,0.031066394971017923,0.0009651208964952876,0.0,0.0,0.0324899025896887,0.0538132573057733,0.6124970301734378
EGR1,0.006698716152851934,0.03100211840454458,0.0009611313455694017,0.0,0.0,0.0,0.0,0.4600409836065574
GABPB1,0.03970609859665995,0.030513363486874407,0.0009310653512821203,0.0,0.0148224043715847,0.0393442622950819,0.0567622950819672,0.255327868852459
NFE2L3,0.03100323854723957,0.030015789770072084,0.0009009476355211639,0.0,0.0009289617486338,0.0267213114754098,0.0468852459016393,0.4184699453551913
MGA,0.009983105114973342,0.029857238506148038,0.0008914546912130091,0.0,0.0,0.0,0.0,0.3016848816029144
SREBF1,0.030294120553266853,0.029342843112157343,0.0008610024419046797,0.0,0.000803600128576,0.0255544840887174,0.048858887817422,0.213837994214079
HEY1,0.01577999616168562,0.02868789842939284,0.0008229955162951602,0.0,0.0,0.0,0.0239692001987083,0.2770740188772975
HMBOX1,0.009499778074896386,0.027738910749671844,0.0007694471695782601,0.0,0.0,0.0,0.0,0.4082422586520947
ZNF518A,0.01505484913106467,0.027604320626161485,0.0007619985172319243,0.0,0.0,0.0,0.0230138713745271,0.3329129886506936
ZNF507,0.014875569346459162,0.02745924596365177,0.0007540101888923261,0.0,0.0,0.0,0.0210610200364298,0.2316712204007286
ZNF398,0.021410636003730832,0.027304320981685695,0.0007455259442709216,0.0,0.0,0.0072859744990892,0.0389344262295082,0.2808136004857316
ATF4,0.009736696188331385,0.027002195455129538,0.0007291185593970184,0.0,0.0,0.0,0.0,0.3432377049180328
SMAD4,0.0069486793747608345,0.026516073500282466,0.0007031021538723821,0.0,0.0,0.0,0.0,0.308287795992714
IKZF2,0.01520889081321619,0.026396168765255242,0.0006967577254838364,0.0,0.0,0.0,0.0265417642466822,0.2398516783762685
TAF1,0.007696158769666835,0.026250574175887175,0.0006890926445637547,0.0,0.0,0.0,0.0,0.368071818891491
ONECUT2,0.016038677667366375,0.026059913551980517,0.0006791190943366978,0.0,0.0,0.0,0.0300546448087431,0.6212431693989071
PAX3,0.01948603076999698,0.025994073314977044,0.0006756918475044017,0.0,0.0,0.0028688524590163,0.0367486338797814,0.2382513661202185
ATF6,0.004715280173089585,0.02587685671130305,0.0006696117132573098,0.0,0.0,0.0,0.0,0.4559426229508196
TEF,0.02435275613333119,0.025792476007459056,0.0006652518185953511,0.0,0.0,0.0191256830601092,0.0376084860173577,0.212230793956927
GBX2,0.01580449220846119,0.02571214038182394,0.0006611141630146212,0.0,0.0,0.0,0.0276639344262295,0.2482923497267759
MAZ,0.02011381357422249,0.025687106388633647,0.0006598274346209836,0.0,0.0,0.0125577973938629,0.0310004203446826,0.2727511559478772
MYCN,0.02147672100498092,0.025256921661275425,0.0006379120918038037,0.0,0.0,0.0133459436738125,0.0367801597309794,0.2649222362337116
RELB,0.019081902631459834,0.02470661757787878,0.0006104169521395486,0.0,0.0,0.0108486017357762,0.0291706846673095,0.3746383799421408
ZNF217,0.013184577149254974,0.024613087197513494,0.0006058040613924026,0.0,0.0,0.0,0.0181799075241698,0.3218789407313997
NFATC3,0.01609456143418618,0.02457527070581613,0.0006039439302641445,0.0,0.0,0.0,0.0321892076502732,0.1952698087431694
ZBTB46,0.013132241659445732,0.024538307635319,0.0006021285416055548,0.0,0.0,0.0,0.0180523028883684,0.2960577673692428
ZNF423,0.004030984925371078,0.02427090656868163,0.0005890769056656731,0.0,0.0,0.0,0.0,0.4228142076502732
HDAC2,0.008042629661341819,0.02381407862468458,0.000567110340742659,0.0,0.0,0.0,0.0,0.2802064359441408
NR2F1,0.032342251083637245,0.02376788040282548,0.0005649121388430155,0.0,0.0142276422764227,0.0283553245368519,0.0458483273357323,0.1834266293482607
STAT3,0.025327836082023207,0.02371811857425731,0.0005625491487025298,0.0,0.0043971994535519,0.0220713797814207,0.0376536885245901,0.1991120218579235
AHR,0.017876338472582354,0.023179093685348953,0.0005372703840741838,0.0,0.0,0.0083405234397469,0.0301984469370146,0.2134742594190394
ATF2,0.015802631609760042,0.02246172726700712,0.0005045291918174111,0.0,0.0,0.0048892723612309,0.0261000862812769,0.2153436870865688
FOSB,0.016323508147655964,0.022188116635095633,0.0004923125198126075,0.0,0.0,0.0026134473746733,0.0289855072463768,0.3665953908291756
RXRA,0.026040963392336462,0.02181893791355685,0.0004760660516756485,0.0,0.0094686263425664,0.0214810627473148,0.0388166572451479,0.1802807612587149
ISL1,0.008153228731815827,0.021755307415313823,0.0004732934007348086,0.0,0.0,0.0,0.0,0.2684426229508196
SMAD9,0.05608431863427531,0.02173965063320075,0.0004726124096536258,0.0063524590163934,0.0414086217364905,0.0525880388585306,0.0663327261687917,0.202762598664238
CREB5,0.009012540001112233,0.02171421599718576,0.000471507176372438,0.0,0.0,0.0,0.0,0.3439890710382514
IRF8,0.024058785339023895,0.021708145770704953,0.0004712435928021754,0.0,0.0070013661202185,0.0208760245901639,0.0350068306010928,0.2419313524590164
CTCF,0.005848971256772339,0.021668040613417993,0.00046950398402473157,0.0,0.0,0.0,0.0,0.3092554644808743
KLF9,0.007730474403391005,0.021444680246558233,0.00045987431087712486,0.0,0.0,0.0,0.0,0.2613387978142076
MXI1,0.023585892593979023,0.021406530197687446,0.0004582395351045046,0.0,0.0,0.0244325346784363,0.03567675493905,0.2508932324506095
IRF2,0.01548124369255249,0.02099473350035113,0.0004407788347507661,0.0,0.0,0.0,0.028807317652649,0.2883701591827037
GLI3,0.09530035738585767,0.020919285125759017,0.0004376164901728024,0.0304309270443869,0.0810313009299204,0.0973528424887355,0.1106125970664365,0.1543655929441089
